第0世代
f1,f2
155.633,11.5019,0
162.953,3.88943,1
149.638,68.0239,1
150.17,32.4119,1
161.208,9.89587,1
156.048,11.5361,1
155.471,14.4154,1
151.77,18.4923,1
150.486,21.4593,1
162.628,3.90187,1
151.683,20.5637,1
163.25,4.88053,2
150.628,28.697,2
153.892,20.594,2
155.555,15.1079,2
152.263,28.6689,2
160.383,11.7539,2
157.17,11.8966,2
159.902,11.7626,2
163.25,7.56609,3
151.019,64.9615,3
151.368,46.1076,3
157.85,12.7151,3
154.93,29.9685,3
151.814,33.2443,3
152.14,30.0811,3
156.437,16.4768,3
155.928,20.9728,3
157.298,13.6443,3
155.007,22.9178,3
155.363,22.1054,3
166.56,10.0944,4
151.112,87.5692,4
161.368,13.0026,4
151.63,68.2437,4
151.88,56.8685,4
155.26,27.9535,4
152.333,42.7139,4
156.5,21.0481,4
153.175,31.8617,4
159.5,13.1244,4
152.575,34.5001,4
157.828,15.0284,4
157.24,17.7022,4
157.633,16.168,4
166.688,10.9337,5
151.975,63.495,5
152.735,39.8442,5
162.14,13.2078,5
156.915,22.6175,5
159.842,14.0254,5
153.301,32.2595,5
156.17,28.3759,5
154.423,32.2523,5
157.485,19.0408,5
155.773,31.7248,5
157.975,17.5203,5
159.22,16.4377,5
158.798,16.6054,5
156.033,29.7886,5
166.688,11.0087,6
152.128,100.428,6
162.618,13.5251,6
152.253,67.1345,6
152.135,83.643,6
153.001,53.4826,6
153.728,40.4707,6
154.611,34.9012,6
158.64,17.5584,6
160.585,14.309,6
160.383,15.3435,6
153.604,49.8943,6
156.305,29.5333,6
155.849,34.4871,6
157.135,26.6789,6
157.542,22.8173,6
153.578,51.6999,6
158.223,17.9745,6
157.16,25.4225,6
156.17,32.0721,6
157.9,20.6535,6
157.932,20.4535,6
155.902,33.4002,6
167.768,11.9387,7
152.297,69.7655,7
166.56,14.8458,7
153.045,56.3699,7
162.521,15.0834,7
153.738,52.6352,7
153.897,43.3918,7
154.995,41.5913,7
155.677,36.1633,7
161.085,15.847,7
156.315,34.234,7
156.678,29.7372,7
157.293,25.6892,7
160.165,17.9494,7
159.777,18.2241,7
158.792,19.8572,7
158.108,23.2772,7
156.59,30.4359,7
157.485,25.4679,7
158.213,22.1034,7
158.538,20.2982,7
168.428,14.5739,8
152.578,97.0263,8
161.252,16.3871,8
152.63,71.0036,8
153.365,57.8646,8
155.276,46.5097,8
156.387,40.7216,8
153.97,49.7009,8
156.761,32.2743,8
158.792,20.3473,8
157.471,27.2331,8
156.67,35.0251,8
154.193,48.1673,8
159.872,18.274,8
158.382,25.2892,8
159.518,19.9531,8
158.116,25.3578,8
159.793,18.719,8
157.835,26.7079,8
157.851,26.3044,8
170.725,16.1746,9
153.319,85.2575,9
161.864,16.4172,9
153.708,63.6555,9
153.543,75.3129,9
154.393,49.2788,9
159.22,21.1175,9
155.202,49.2485,9
157.01,33.0101,9
156.615,42.6645,9
157.876,27.4191,9
156.76,40.3714,9
157.523,28.2661,9
160.611,18.6341,9
159.872,18.8724,9
161.648,17.5558,9
157.765,27.595,9
157.768,27.557,9
166.434,17.1742,10
153.826,71.2486,10
154.841,59.9713,10
155.928,51.0041,10
163.108,18.4052,10
154.208,70.1874,10
165.183,18.2476,10
159.22,22.5325,10
156.615,45.9102,10
157.863,28.4433,10
160.467,19.1416,10
156.908,40.9823,10
157.353,36.5982,10
157.575,31.5922,10
159.74,21.4221,10
157.658,29.9602,10
160.043,20.0662,10
160.31,19.9739,10
173.472,17.9195,11
153.947,86.2196,11
165.22,19.0794,11
170.725,18.3833,11
154.908,65.853,11
156.824,53.8847,11
157.226,44.2196,11
154.902,81.0219,11
161.49,19.2567,11
158.415,28.8543,11
157.845,34.3105,11
157.683,38.5488,11
156.491,60.6578,11
156.455,64.2124,11
154.753,82.7869,11
159.677,22.5807,11
159.22,26.0614,11
160.485,21.1453,11
159.248,25.2976,11
160.867,20.7489,11
161.49,20.4074,11
164.805,19.4465,12
154.667,99.1575,12
155.586,73.3842,12
156.889,67.4051,12
154.917,97.4075,12
157.321,49.3595,12
162.14,19.5672,12
163.83,19.5639,12
161.099,21.2681,12
第3世代
f1,f2
160.33,2.91867,0
148.142,92.0075,0
148.415,35.6258,0
151.823,10.491,0
160.122,3.31125,0
148.845,20.1203,0
150.498,18.6972,0
151.773,15.3979,0
150.573,16.5601,0
163.49,3.02108,1
149.038,37.7483,1
155.812,10.6328,1
150.17,32.4119,1
161.208,9.89587,1
150.486,21.4593,1
151.77,18.4923,1
161.91,9.78614,1
152.577,14.4427,1
152.956,10.7006,1
162.628,3.90187,1
150.572,19.7218,1
152.695,11.9029,1
162.953,3.88943,1
163.25,4.88053,2
149.532,86.6191,2
149.638,68.0239,2
160.235,10.7753,2
150.628,28.697,2
155.633,11.5019,2
153.685,12.1958,2
152.448,18.7051,2
151.683,20.5637,2
150.717,26.3959,2
154.857,11.9964,2
163.25,7.56609,3
150.987,49.4949,3
156.048,11.5361,3
151.356,37.7673,3
152.345,22.8175,3
151.723,30.2775,3
154.425,12.5364,3
153.235,20.3815,3
153.798,19.0039,3
153.94,14.0254,3
152.263,28.6689,3
152.14,30.0811,3
166.56,8.62651,4
151.019,64.9615,4
151.368,46.1076,4
163.25,9.65792,4
151.814,33.2443,4
160.383,11.7539,4
157.17,11.8966,4
154.858,18.3503,4
159.902,11.7626,4
155.471,14.4154,4
152.703,26.5711,4
151.988,32.8114,4
153.892,20.594,4
156.548,13.6014,4
153.647,23.1407,4
153.388,24.6298,4
153.018,25.9464,4
152.976,26.0571,4
166.56,10.0944,5
151.112,87.5692,5
158.825,12.3471,5
151.63,68.2437,5
152.333,42.7139,5
151.88,56.8685,5
155.555,15.1079,5
152.575,34.5001,5
157.298,13.6443,5
153.682,30.9178,5
154.24,24.298,5
151.875,57.7503,5
155.042,18.7791,5
153.175,31.8617,5
157.85,12.7151,5
155.007,22.9178,5
154.845,23.8997,5
154.92,23.3406,5
166.688,10.9337,6
151.745,96.187,6
151.975,63.495,6
159.792,12.6701,6
152.584,40.165,6
153.301,32.2595,6
159.5,13.1244,6
152.735,39.8442,6
157.975,14.5162,6
156.425,16.3168,6
155.363,22.1054,6
155.059,25.842,6
155.928,20.9728,6
155.985,17.4256,6
154.423,32.2523,6
157.555,16.2931,6
154.456,31.5462,6
154.93,29.9685,6
155.048,29.755,6
157.828,15.0284,6
157.633,16.168,6
166.688,11.0087,7
151.872,96.2311,7
161.368,13.0026,7
152.253,66.1381,7
152.135,83.643,7
156.437,16.4768,7
153.001,53.4826,7
159.22,16.4377,7
153.702,35.113,7
153.604,49.8943,7
155.26,27.9535,7
153.905,34.0238,7
155.67,23.2233,7
160.165,13.5339,7
159.842,14.0254,7
155.588,26.6838,7
153.578,51.6999,7
167.768,11.9387,8
152.128,100.428,8
152.253,67.1345,8
162.14,13.2078,8
157.213,16.4867,8
153.728,40.4707,8
153.045,56.3699,8
153.615,52.8811,8
160.235,16.0932,8
155.773,30.0337,8
156.5,21.0481,8
155.863,25.3912,8
154.611,34.9012,8
154.477,35.2247,8
161.835,13.7479,8
160.882,14.2185,8
160.585,14.309,8
160.383,15.3435,8
168.135,11.9396,9
152.297,69.7655,9
162.505,13.4587,9
153.365,57.8646,9
153.738,52.6352,9
153.897,43.3918,9
156.915,22.6175,9
155.4,35.32,9
159.348,16.54,9
156.17,28.3759,9
157.24,17.7022,9
161.085,15.847,9
154.995,41.5913,9
155.773,31.7248,9
155.304,40.5938,9
157.975,17.5203,9
158.798,16.6054,9
162.005,14.1316,9
156.033,29.7886,9
161.368,14.4116,9
161.118,14.9968,9
156.108,28.7601,9
162.618,13.5251,10
152.578,97.0263,10
153.455,57.9289,10
152.63,71.0036,10
152.579,80.1335,10
160.217,16.5425,10
161.118,15.3983,10
158.64,17.5584,10
153.97,49.7009,10
157.485,19.0408,10
162.521,15.0834,10
155.677,36.1633,10
155.559,45.8312,10
156.305,29.5333,10
157.135,26.6789,10
158.108,17.9156,10
154.193,48.1673,10
155.025,47.6043,10
157.16,25.4225,10
156.17,32.0721,10
155.276,46.5097,10
155.902,33.4002,10
155.849,34.4871,10
168.428,14.5739,11
153.004,78.1479,11
166.56,14.8458,11
153.708,63.6555,11
161.252,16.3871,11
154.238,48.5813,11
153.125,73.7885,11
154.072,51.7833,11
156.005,40.75,11
160.165,17.9494,11
158.223,17.9745,11
156.315,34.234,11
156.17,40.7295,11
157.293,25.6892,11
157.485,20.5154,11
156.735,29.7158,11
160.9,16.5997,11
第4世代
f1,f2
160.33,2.91867,0
146.18,27.1529,0
148.087,9.63855,0
151.77,4.91197,0
146.925,27.1358,0
160.122,3.31125,0
163.49,3.02108,1
148.098,89.8782,1
148.415,35.6258,1
154.33,6.38582,1
162.628,3.90187,1
148.845,20.1203,1
150.573,15.29,1
151.945,7.65792,1
151.823,10.491,1
149.328,18.2479,1
162.953,3.88943,1
163.25,4.88053,2
148.142,92.0075,2
149.038,37.7483,2
149.016,78.201,2
160.122,6.64549,2
155.812,7.23795,2
148.548,82.9649,2
149.255,26.2948,2
151.773,15.3979,2
154.152,8.1265,2
149.702,25.16,2
150.486,21.4593,2
150.573,16.5601,2
152.956,10.7006,2
153.777,8.43373,2
152.288,12.9461,2
152.695,11.9029,2
150.498,18.6972,2
163.49,5.46979,3
149.283,27.1015,3
150.572,19.7218,3
159.842,7.65792,3
157.353,9.32644,3
162.618,7.15756,3
151.77,18.4923,3
151.814,15.9132,3
155.812,10.3919,3
155.633,11.5019,3
153.69,11.9029,3
153.318,14.0254,3
152.577,14.4427,3
153.618,12.2066,3
152.855,14.2986,3
153.685,12.1958,3
163.25,7.56609,4
149.532,86.6191,4
149.638,68.0239,4
150.17,32.4119,4
155.812,10.6328,4
161.208,9.89587,4
