第0世代
,f1,f2,front
166.498,44.183,93,32
168.487,40.6786,100,32
172.532,36.9713,80,32
167.358,41.807,97,32
167.194,43.9681,98,32
168.447,41.5608,89,32
173.634,37.3143,86,33
164.051,75.5243,89,33
169.065,43.2051,95,33
166.036,47.8212,81,33
164.463,70.5219,100,33
164.573,54.8651,83,33
172.918,39.5913,91,33
165.211,50.9732,92,33
171.227,40.6998,85,33
170.436,40.9602,87,33
170.555,40.9424,91,33
177.679,38.1188,80,34
164.743,66.7057,99,34
166.439,49.1161,98,34
165.173,55.9279,89,34
165.124,59.0327,89,34
169.119,45.9085,85,34
174.558,38.9821,86,34
174.371,41.5943,87,34
171.308,42.4767,92,34
168.274,48.5765,87,34
164.936,66.4095,91,34
170.523,42.5416,90,34
172.472,42.5801,86,35
165.352,67.4733,94,35
170.4,48.5114,81,35
171.732,46.6605,91,35
165.467,61.022,81,35
168.808,49.7736,84,35
167.369,51.471,89,35
166.381,55.9334,80,35
169.201,49.1994,86,35
172.357,44.5656,88,35
165.556,58.5109,83,35
167.286,52.8839,95,35
167.085,54.8127,83,35
165.512,59.0471,85,35
166.722,55.6095,83,35
166.858,55.2888,90,35
177.786,45.5198,94,36
165.467,67.7187,85,36
173.211,48.0015,85,36
169.975,49.8976,87,36
167.537,52.7028,90,36
165.796,59.0161,89,36
166.684,57.0026,99,36
174.727,49.0177,85,37
165.672,79.1956,87,37
166.444,60.745,93,37
171.516,49.9044,98,37
169.327,53.5434,88,37
167.791,56.1309,86,37
168.444,55.4013,92,37
168.701,53.8334,83,37
172.922,50.4292,91,38
166.717,66.5881,83,38
171.443,53.98,88,38
166.833,62.1718,83,38
168.446,55.4593,91,38
167.871,56.4519,92,38
172.43,51.6917,92,38
173.887,51.0078,98,39
167.242,66.5933,86,39
169.689,56.535,100,39
173.181,53.348,87,39
168.709,62.9232,89,39
167.515,63.9318,99,39
167.283,65.6741,93,39
175.642,54.3275,83,40
167.274,83.424,81,40
173.848,54.4948,95,40
170.528,64.703,95,40
167.721,72.521,99,40
168.407,67.7037,95,40
169.762,65.9482,91,40
175.259,54.6705,90,41
169.738,85.1379,90,41
172.838,66.0952,90,41
170.832,70.8492,82,41
174.764,55.2099,90,41
175.678,59.1786,90,42
172.847,75.4759,89,42
174.057,72.5889,85,42
177.552,60.4828,80,43
175.352,74.0983,90,43
176.871,62.4979,85,43
178.543,72.3822,92,44
175.665,92.3714,84,44
179.713,73.6017,85,45
第1世代
,f1,f2,front
150.63,3.02108,84,0
